Z [ m ],Velocity [ m s^-1 ]
0.0050937180,0.9448636170
0.0050316257,0.9421876670
0.0049695335,0.9394238590
0.0049074413,0.9367368220
0.0048453491,0.9336423280
0.0047832569,0.9307590130
0.0047211647,0.9279170040
0.0046590725,0.9250750540
0.0045969803,0.9222016930
0.0045348881,0.9187003370
0.0044727959,0.9152201410
0.0044107037,0.9118676190
0.0043486115,0.9088793990
0.0042865193,0.9054235820
0.0042244270,0.9015438560
0.0041623348,0.8978416920
0.0041002426,0.8940063710
0.0040381504,0.8901709910
0.0039760582,0.8863356110
0.0039139660,0.8825944660
0.0038518738,0.8789538150
0.0037897816,0.8753133420
0.0037276894,0.8704115750
0.0036655972,0.8651371600
0.0036035050,0.8598628040
0.0035414128,0.8545883890
0.0034793206,0.8493647580
0.0034172284,0.8445811270
0.0033551361,0.8386059400
0.0032930439,0.8328734040
0.0032309517,0.8271721600
0.0031688595,0.8214710950
0.0031067673,0.8157699700
0.0030446751,0.8100689050
0.0029825829,0.8030669090
0.0029204907,0.7956856490
0.0028583985,0.7883046270
0.0027963063,0.7809352870
0.0027342141,0.7732442020
0.0026721219,0.7655364870
0.0026100297,0.7568531630
0.0025479375,0.7480106350
0.0024858452,0.7393621210
0.0024237530,0.7307136060
0.0023616608,0.7220650910
0.0022995686,0.7133370640
0.0022374764,0.7043961880
0.0021753842,0.6953277590
0.0021132920,0.6863002780
0.0020511998,0.6774085760
0.0019891076,0.6685168740
0.0019270155,0.6596252320
0.0018649234,0.6506724950
0.0018028313,0.6417085530
0.0017407392,0.6331518290
0.0016786471,0.6248924140
0.0016165550,0.6172031160
0.0015544629,0.6095145340
0.0014923709,0.6019228100
0.0014302788,0.5943486090
0.0013681867,0.5867744090
0.0013060946,0.5807854530
0.0012440025,0.5747969150
0.0011819104,0.5688088540
0.0011198183,0.5628210310
0.0010577262,0.5568495390
0.0009956341,0.5514081720
0.0009335420,0.5459672810
0.0008714499,0.5423752670
0.0008093579,0.5390908720
0.0007472658,0.5358067150
0.0006851737,0.5325226190
0.0006230816,0.5292386410
